"""","和歌山県_合計_実　　数","和歌山県_合計_前年(同月･期)比","和歌山県_国_実数","和歌山県_国_前年(同月･期)比","和歌山県_県_実数","和歌山県_県_前年(同月･期)比"
"平成17年","131793.0","-7.2","21969.0","-31.7","53666.0","4.4"
"平成18年","137885.0","4.6","17082.0","-22.2","51294.0","-4.4"
"平成19年","127635.0","-7.4","21371.0","25.1","45012.0","-12.2"
"平成20年","119851.0","-6.098640654992749","23206.0","8.586402133732634","39476.0","-12.298942504221102"
"平成21年","131786.0","9.958198095969166","27814.0","19.856933551667666","51221.0","29.752254534400635"
"平成22年","124955.0","-5.1834033964154","21585.0","-22.395196663550735","48501.0","-5.310321938267506"
"平成23年","124250.0","-0.5642031131207261","27912.0","29.312022237665047","48854.0","0.7278200449475349"
"平成24年","202116.0","62.668812877263576","56178.0","101.26827171109198","78896.0","61.49342940189135"
"平成25年","205533.0","1.6906133111678372","73615.0","31.038840827370137","70347.0","-10.835783816670045"
"平成26年","219581.0","6.834912155225695","84661.0","15.00509407050194","66999.0","-4.759264787410984"
"平成19年1-3月","28851.0","19.9","7250.0","47.5","7983.0","3.6"
"平成19年4-6月","29161.0","-17.3","1397.0","-32.4","11756.0","-30.0"
"平成19年7-9月","37627.0","-10.5","6968.0","67.5","14867.0","-18.8"
"平成19年10-12月","31996.0","-12.4","5756.0","-3.1","10406.0","22.6"
"平成20年1-3月","27296.0","-5.389761186787297","9208.0","27.00689655172414","6212.0","-22.18464236502568"
"平成20年4-6月","27430.0","-5.936010424882554","1414.0","1.2168933428775972","10880.0","-7.451514120449133"
"平成20年7-9月","33838.0","-10.069896616791127","6885.0","-1.1911595866819766","11571.0","-22.16990650433847"
"平成20年10-12月","31287.0","-2.2159019877484667","5699.0","-0.990271021542739","10813.0","3.911205073995788"
"平成21年1-3月","25203.0","-7.667790152403285","12895.0","40.04126846220677","6324.0","1.80296200901482"
"平成21年4-6月","36103.0","31.618665694495064","2554.0","80.62234794908062","15653.0","43.86948529411765"
"平成21年7-9月","37605.0","11.132454636798855","5764.0","-16.28177196804647","17422.0","50.56607034828451"
"平成21年10-12月","32875.0","5.0755905008469995","6601.0","15.827338129496397","11822.0","9.331360399519099"
"平成22年1-3月","28101.0","11.498631115343414","6518.0","-49.45327646374563","7511.0","18.7697659709045"
"平成22年4-6月","30023.0","-16.840705758524223","3980.0","55.83398590446359","11271.0","-27.994633616559128"
"平成22年7-9月","38423.0","2.1752426539024157","6295.0","9.212352532963223","18771.0","7.743083457697168"
"平成22年10-12月","28408.0","-13.587832699619767","4792.0","-27.404938645659755","10948.0","-7.3929961089494185"
"平成23年1-3月","30958.0","10.166897975161021","10107.0","55.062902730899054","9825.0","30.808148049527375"
"平成23年4-6月","30013.0","-0.03330779735536282","5958.0","49.69849246231155","9469.0","-15.987933634992459"
"平成23年7-9月","37409.0","-2.6390443224110527","7261.0","15.345512311358206","18119.0","-3.4734430770869835"
"平成23年10-12月","25870.0","-8.934103069557878","4586.0","-4.2988313856427425","11441.0","4.5031055900621055"
"平成24年1-3月","62987.0","103.4595258091608","29972.0","196.54694766003763","16904.0","72.05089058524172"
"平成24年4-6月","44181.0","47.20621064205511","5732.0","-3.79321920107418","23543.0","148.63237934311962"
"平成24年7-9月","49960.0","33.55074981956216","11625.0","60.10191433686819","20832.0","14.973232518350898"
"平成24年10-12月","44988.0","73.90027058368767","8849.0","92.95682511993022","17617.0","53.981295341316326"
"平成25年1-3月","40103.0","-36.33130646006318","17563.0","-41.401975176831705","15524.0","-8.16374822527213"
"平成25年4-6月","61468.0","39.12767931916434","24826.0","333.11235170969996","16122.0","-31.521046595591045"
"平成25年7-9月","60821.0","21.739391513210563","19191.0","65.08387096774192","21960.0","5.414746543778804"
"平成25年10-12月","43141.0","-4.105539254912415","12035.0","36.004068256300144","16741.0","-4.97246977351422"
"平成26年1-3月","39656.0","-1.114629828192406","18339.0","4.418379547913219","13152.0","-15.2795671218758"
"平成26年4-6月","86022.0","39.945988156439114","38949.0","56.887940062837345","19775.0","22.658479096886254"
"平成26年7-9月","55916.0","-8.06464872330281","16165.0","-15.767807826585383","21627.0","-1.516393442622956"
"平成26年10-12月","37987.0","-11.94687188521361","11208.0","-6.8716244287494845","12445.0","-25.661549489277817"
"平成19年1月","8662.0","10.6","2165.0","-4.8","2439.0","24.8"
"平成19年2月","5377.0","0.8","2096.0","297.7","1406.0","-37.9"
"平成19年3月","14812.0","36.0","2989.0","41.5","4138.0","18.5"
"平成19年4月","9529.0","-26.3","323.0","-30.2","4444.0","-40.3"
"平成19年5月","7521.0","-12.1","259.0","14.1","3561.0","-33.6"
"平成19年6月","12111.0","-12.2","815.0","-40.8","3751.0","-5.7"
"平成19年7月","13010.0","10.6","2789.0","339.2","3679.0","-29.5"
"平成19年8月","9304.0","-10.8","1122.0","4.2","3966.0","-13.1"
"平成19年9月","15313.0","-22.8","3057.0","24.8","7222.0","-15.3"
"平成19年10月","13378.0","-22.3","3152.0","85.5","4020.0","23.5"
"平成19年11月","9092.0","7.9","1655.0","13.7","2844.0","-10.8"
"平成19年12月","9526.0","-12.4","949.0","-65.9","3542.0","73.0"
"平成20年1月","4804.0","-44.539367351650895","1289.0","-40.46189376443417","2053.0","-15.826158261582606"
"平成20年2月","11214.0","108.55495629533198","4500.0","114.69465648854964","829.0","-41.038406827880515"
"平成20年3月","11278.0","-23.859033216311104","3419.0","14.386082301773158","3330.0","-19.5263412276462"
"平成20年4月","7502.0","-21.271906810788124","927.0","186.9969040247678","2366.0","-46.759675967596756"
"平成20年5月","5696.0","-24.265390240659485","76.0","-70.65637065637065","3568.0","0.19657399606852266"
"平成20年6月","14232.0","17.513004706465196","411.0","-49.57055214723927","4946.0","31.858171154358814"
"平成20年7月","11729.0","-9.846272098385853","2865.0","2.72499103621368","1976.0","-46.28975265017667"
"平成20年8月","7942.0","-14.638865004299234","1959.0","74.59893048128345","1991.0","-49.798285426122035"
